date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:17	300/300	---M--	200	added ('OK')	text/plain	date:Fri,%2011%20Aug%202017%2013:33:09%20GMT	http://horstmann.com/robots.txt		(from )
20:33:17	12513/12513	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2023:09:58%20GMT	http://horstmann.com/sjsu/spring2018/cs152/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/index.html	(from )
20:33:33	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2001:10:59%20GMT	http://www.w3.org/1999/xhtml	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.w3.org/1999/xhtml.0.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:33	17116/17116	---M--	200	added ('OK')	text/css	date:Tue,%2013%20Feb%202018%2014:41:18%20GMT	http://horstmann.com/styles.css	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/styles.css	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:34	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:34%20GMT	http://piazza.com/sjsu/spring2018/cs152sections3and4/home	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/piazza.com/sjsu/spring2018/cs152sections3and4/home.2.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:34	13668/13668	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Jan%202018%2017:54:28%20GMT	http://www.sjsu.edu/people/cay.horstmann/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.sjsu.edu/people/cay.horstmann/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:39	82892/82892	---MCZ	200	added ('OK')	text/html	etag:W/%223b1a01657edb7f37e079d253f7f4089e%22	https://piazza.com/sjsu/spring2018/cs152sections3and4/home	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/piazza.com/sjsu/spring2018/cs152sections3and4/home.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:43	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:43%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture1	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture1.4.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:43	12133/12133	---M--	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202018%2015:02:16%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture1/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture1/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:43	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:44%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture2	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture2	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:44	10141/10141	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2023:19:03%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture2/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture2/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:44	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:45%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw1	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw1	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:44	4907/4907	---M--	200	added ('OK')	text/html	date:Sat,%2006%20Jan%202018%2017:32:16%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw1/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw1/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:45	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:45%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture3	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture3	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:45	7490/7490	---M--	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202018%2019:11:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture3/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture3/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:45	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:46%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture4	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture4	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:46	10407/10407	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202018%2020:39:33%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture4/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture4/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:46	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:46%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw2	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw2	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:46	4678/4678	---M--	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2016:40:15%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw2/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw2/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:46	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:47%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture5	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture5	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:47	9168/9168	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202018%2020:41:12%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture5/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture5/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:47	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:48%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture6	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture6	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:47	14881/14881	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Mar%202018%2000:35:37%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture6/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture6/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:48	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:48%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw3	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw3	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:48	9006/9006	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2001:37:01%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw3/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw3/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:48	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0-gzip%22	http://www.w3.org/1999/xhtml/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.w3.org/1999/xhtml/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:48	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:49%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture7	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture7	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	11220/11220	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202018%2019:34:11%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture7/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture7/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Mar%202018%2003:33:49%20GMT	https://youtu.be/Gy36UqfifH0	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/youtu.be/Gy36UqfifH0.e.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw4	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw4	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture8	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture8	(from http://horstmann.com/sjsu/spring2018/cs152/)
